0,1,2,3,4,5,6,7,8,9,10,11
0.023679785,-0.11638875,0.07991728,-0.11218745,-0.22316022,0.22408009,-0.0076918826,-0.2194009,-0.059626345,0.21383378,0.24700376,0.23133667
0.08224079,-0.14205953,0.013237283,0.0655165,-0.39230412,0.26845127,-0.021345332,-0.20034721,0.24097939,0.24420941,0.29854602,0.33627415
0.02442609,-0.09051356,0.25273648,-0.075101614,-0.3558628,0.40520197,0.024633903,-0.21666476,0.24949743,0.20328526,0.3085653,0.4071538
-0.015566837,0.024421498,0.37288508,-0.15819459,-0.31491816,0.670472,-0.037108857,-0.22078447,0.19861762,0.32065588,0.31304538,0.61163735
-0.03545102,0.120768696,0.6107151,-0.36464033,-0.14110862,0.8010617,-0.04236881,-0.21658425,0.17946051,0.36490828,0.2881113,0.47131252
-0.069886886,0.21081495,0.6475807,-0.43304047,-0.19342375,0.80528647,-0.05098215,-0.19064872,0.33091858,0.28148526,0.23534219,0.34133977
-0.06374327,0.28084236,0.6595646,-0.38930976,-0.3315165,0.6838466,-0.059753787,-0.12584536,0.46100527,0.29491895,0.21111903,0.20406929
-0.055788714,0.3265634,0.6440328,-0.41344056,-0.5207367,0.55947334,-0.055725325,-0.06895606,0.6175616,0.29481697,0.16535921,0.0858769
-0.040570516,0.3553582,0.6919306,-0.42303088,-0.62180907,0.36015576,-0.049486417,-0.034786552,0.6409789,0.2959205,0.11406175,-0.01851438
0.018990649,0.38882008,0.75345486,-0.58695745,-0.82402503,0.053393465,-0.0522958,-0.018724263,0.69722664,0.29258257,0.017122298,-0.18333125
0.02776081,0.38421106,0.8357981,-0.7605821,-0.9233802,-0.18758678,-0.0010343529,0.038339794,0.61873704,0.28871226,-0.1272226,-0.417441
-0.05642738,0.28397357,0.7328237,-0.9155811,-1.080507,-0.33685353,0.08098,0.08172621,0.509602,0.34846753,-0.18015784,-0.62558484
-0.065899074,0.16206664,0.22405675,-0.95189595,-1.1936022,-0.57702583,0.08416663,0.04757966,0.2398146,0.3548076,0.039206907,-0.8390086
-0.073730126,0.022937812,0.01988712,-1.046789,-1.197899,-0.5257653,0.09962638,-0.041804798,0.10594924,0.42782098,0.064196125,-0.9603956
-0.051218007,0.033550523,-0.07327381,-1.0441734,-1.1526625,-0.48347324,0.090620786,-0.051638216,0.016919162,0.41284722,0.07102208,-0.8879808
-0.06678573,0.09058291,-0.2548207,-1.0811337,-1.0949514,-0.48520014,0.05167153,-0.028503865,-0.07670294,0.37382466,0.06852409,-0.93200195
-0.08202294,0.09177395,-0.31360668,-1.137645,-1.0050869,-0.4446564,-0.0039876737,0.025215566,-0.0036266297,0.23340291,0.17788377,-0.8521861
-0.049405012,0.15657769,-0.50268567,-1.07183,-0.85776764,-0.39843935,-0.03696138,0.016727954,-0.1579138,0.1804331,0.29657322,-0.8209915
-0.045733664,0.13082442,-0.63588196,-0.9290229,-0.68031514,-0.27753907,-0.0054504164,-0.063755885,-0.32766634,0.26807725,0.3015014,-0.7848585
-0.045869637,0.13168511,-0.7156672,-0.80476177,-0.48476392,-0.19808401,-0.029408518,-0.12167592,-0.4224398,0.25580207,0.38396442,-0.6839081
-0.033689637,0.13258111,-0.8005591,-0.5977193,-0.2739823,-0.078841925,-0.056362476,-0.17697135,-0.56225866,0.2891872,0.43781316,-0.4620722
-0.052680466,0.0791377,-0.818633,-0.4579616,-0.047575474,0.13001497,-0.038923394,-0.34092465,-0.7056257,0.3585711,0.55135286,-0.29338983
-0.07369734,-0.02207002,-0.6809223,-0.36927626,0.12246139,0.34769934,-0.049136918,-0.3278907,-0.7289993,0.4670257,0.70619684,0.050156303
-0.11746594,-0.09692928,-0.51673836,-0.37063873,0.23252799,0.51286334,-0.05972818,-0.2086128,-0.7451003,0.5919649,0.8100478,0.2884897
-0.17209408,-0.03583859,-0.12073016,-0.33050328,0.13213189,0.77582663,0.006770337,0.016040772,-0.45295963,0.72997034,0.99872625,0.45833418
-0.17295083,-0.013782561,0.023660958,-0.46054628,0.12521939,0.8401719,0.001398772,0.025777236,-0.27883142,0.7582165,1.0925353,0.46371752
